NodesNumber;Density;Time
800;0.5;133798
800;0.75;203205
800;0.75;203108
800;0.75;204400
800;0.75;205969
800;0.75;201937
800;0.75;202743
800;0.75;199686
800;0.75;201790
800;0.75;203544
800;0.75;202163
800;0.75;201626
800;0.75;200793
800;0.75;200990
800;0.75;200157
800;0.75;201517
800;0.75;201728
800;0.75;204975
800;0.75;203360
800;0.75;201392
800;0.75;204138
800;0.75;201847
800;0.75;201934
800;0.75;201273
800;0.75;200873
800;0.75;200781
800;0.75;204146
800;0.75;203527
800;0.75;203481
800;0.75;201112
800;0.75;201598
800;0.75;203326
800;0.75;202811
800;0.75;201300
800;0.75;202166
800;0.75;202369
800;0.75;204648
800;0.75;204799
800;0.75;201910
800;0.75;202987
800;0.75;202437
800;0.75;200862
800;0.75;205156
800;0.75;202713
800;0.75;202112
800;0.75;203072
800;0.75;200438
800;0.75;201765
800;0.75;203491
800;0.75;206781
800;0.75;204548
800;0.99;267952
800;0.99;266069
800;0.99;268142
800;0.99;268407
800;0.99;267380
800;0.99;266567
800;0.99;267640
800;0.99;267135
800;0.99;267590
800;0.99;266721
800;0.99;266800
800;0.99;267633
800;0.99;266752
800;0.99;265269
800;0.99;266112
800;0.99;267770
800;0.99;267323
800;0.99;267883
800;0.99;266725
800;0.99;266576
800;0.99;267940
800;0.99;264144
800;0.99;267774
800;0.99;267582
800;0.99;267234
800;0.99;267017
800;0.99;268358
800;0.99;265831
800;0.99;268747
800;0.99;267280
800;0.99;267699
800;0.99;266726
800;0.99;265711
800;0.99;267788
800;0.99;265875
800;0.99;267399
800;0.99;267042
800;0.99;267488
800;0.99;266146
800;0.99;266829
800;0.99;264867
800;0.99;265787
800;0.99;265480
800;0.99;266110
800;0.99;266519
800;0.99;265406
800;0.99;264741
800;0.99;266357
800;0.99;267688
800;0.99;265329
1000;0.25;120135
1000;0.25;119323
1000;0.25;119089
1000;0.25;120755
1000;0.25;119903
1000;0.25;120116
1000;0.25;119823
1000;0.25;119267
1000;0.25;119901
1000;0.25;119548
1000;0.25;120473
1000;0.25;118961
1000;0.25;121402
1000;0.25;120665
1000;0.25;119755
1000;0.25;119513
1000;0.25;120077
1000;0.25;120531
1000;0.25;119604
1000;0.25;118707
1000;0.25;119706
1000;0.25;120872
1000;0.25;120321
1000;0.25;120260
1000;0.25;119888
1000;0.25;119664
1000;0.25;119932
1000;0.25;119470
1000;0.25;120018
1000;0.25;120404
1000;0.25;119942
1000;0.25;120038
1000;0.25;120280
1000;0.25;120337
1000;0.25;120409
1000;0.25;120025
1000;0.25;124168
1000;0.25;119276
1000;0.25;121116
1000;0.25;120037
1000;0.25;120600
1000;0.25;120059
1000;0.25;120278
1000;0.25;120326
1000;0.25;119842
1000;0.25;119883
1000;0.25;120538
1000;0.25;130762
1000;0.25;120480
1000;0.25;119925
1000;0.5;241679
1000;0.5;240161
1000;0.5;240999
1000;0.5;241002
1000;0.5;249024
1000;0.5;241607
1000;0.5;241073
1000;0.5;241720
1000;0.5;240447
1000;0.5;240166
1000;0.5;238410
1000;0.5;240892
1000;0.5;239954
1000;0.5;240243
1000;0.5;239702
1000;0.5;240870
1000;0.5;239319
1000;0.5;240286
1000;0.5;240838
1000;0.5;239600
1000;0.5;240643
1000;0.5;240198
1000;0.5;240628
1000;0.5;240871
1000;0.5;237547
1000;0.5;239140
1000;0.5;240271
1000;0.5;239138
1000;0.5;239265
1000;0.5;240063
1000;0.5;240344
1000;0.5;239424
1000;0.5;240265
1000;0.5;238603
1000;0.5;243064
1000;0.5;241584
1000;0.5;240242
1000;0.5;240810
1000;0.5;239029
1000;0.5;243358
1000;0.5;240153
1000;0.5;240206
1000;0.5;240610
1000;0.5;240822
1000;0.5;241074
1000;0.5;241405
1000;0.5;241689
1000;0.5;240762
1000;0.5;239959
1000;0.5;240108
1000;0.75;364740
1000;0.75;364336
1000;0.75;362463
1000;0.75;364547
1000;0.75;362733
1000;0.75;362909
1000;0.75;367219
1000;0.75;365610
1000;0.75;366272
1000;0.75;365288
1000;0.75;366120
1000;0.75;366697
1000;0.75;364247
1000;0.75;367437
1000;0.75;365853
1000;0.75;365649
1000;0.75;366674
1000;0.75;364529
1000;0.75;365901
1000;0.75;364184
1000;0.75;366045
1000;0.75;366433
1000;0.75;365493
1000;0.75;369069
1000;0.75;364298
1000;0.75;365205
1000;0.75;362679
1000;0.75;363713
1000;0.75;366453
1000;0.75;366012
1000;0.75;364852
1000;0.75;364568
1000;0.75;363253
1000;0.75;363743
1000;0.75;365736
1000;0.75;367018
1000;0.75;364711
1000;0.75;364972
1000;0.75;364749
1000;0.75;365195
1000;0.75;365245
1000;0.75;366442
1000;0.75;364574
1000;0.75;365597
1000;0.75;371948
1000;0.75;364049
1000;0.75;363640
1000;0.75;363247
1000;0.75;363108
1000;0.75;364112
1000;0.99;483113
1000;0.99;482074
1000;0.99;481357
1000;0.99;480367
1000;0.99;480815
1000;0.99;480401
1000;0.99;479189
1000;0.99;480832
1000;0.99;479259
1000;0.99;480535
1000;0.99;479756
1000;0.99;484378
1000;0.99;478719
1000;0.99;479017
1000;0.99;479155
1000;0.99;479653
1000;0.99;478412
1000;0.99;482887
1000;0.99;481621
1000;0.99;480277
1000;0.99;479517
1000;0.99;478661
1000;0.99;481771
1000;0.99;478570
1000;0.99;480665
1000;0.99;477787
1000;0.99;479840
1000;0.99;481490
1000;0.99;478348
1000;0.99;480125
1000;0.99;479316
1000;0.99;478100
1000;0.99;479498
1000;0.99;478086
1000;0.99;481874
1000;0.99;480836
1000;0.99;480043
1000;0.99;476578
1000;0.99;481743
1000;0.99;479920
1000;0.99;480516
1000;0.99;480126
1000;0.99;479836
1000;0.99;480150
1000;0.99;479860
1000;0.99;481747
1000;0.99;481339
1000;0.99;476962
1000;0.99;479028
1000;0.99;479177
1200;0.25;195429
1200;0.25;194683
1200;0.25;194379
1200;0.25;194399
1200;0.25;194095
1200;0.25;195803
1200;0.25;198796
1200;0.25;194955
1200;0.25;194568
1200;0.25;196162
1200;0.25;194530
1200;0.25;195243
1200;0.25;195116
1200;0.25;194585
1200;0.25;194731
1200;0.25;196716
1200;0.25;195194
