NodesNumber;Density;Time
800;0.5;2331274
800;0.5;2340220
800;0.5;2335418
800;0.5;2341608
800;0.5;2329322
800;0.5;2339196
800;0.5;2316015
800;0.5;2338564
800;0.5;2334032
800;0.5;2342078
800;0.5;2340715
800;0.5;2324371
800;0.5;2336294
800;0.5;2318600
800;0.5;2353650
800;0.5;2329895
800;0.5;2346431
800;0.5;2344170
800;0.5;2340853
800;0.5;2332698
800;0.5;2346226
800;0.5;2326977
800;0.5;2335175
800;0.5;2331308
800;0.5;2332470
800;0.75;3519993
800;0.75;3523395
800;0.75;3516486
800;0.75;3507645
800;0.75;3523893
800;0.75;3532669
800;0.75;3521915
800;0.75;3513354
800;0.75;3505073
800;0.75;3507790
800;0.75;3524588
800;0.75;3524245
800;0.75;3524074
800;0.75;3523710
800;0.75;3507165
800;0.75;3511265
800;0.75;3517989
800;0.75;3510639
800;0.75;3509564
800;0.75;3500958
800;0.75;3497329
800;0.75;3516638
800;0.75;3513969
800;0.75;3527071
800;0.75;3516788
800;0.75;3490084
800;0.75;3500527
800;0.75;3511032
800;0.75;3513646
800;0.75;3517489
800;0.75;3500681
800;0.75;3500655
800;0.75;3496061
800;0.75;3498701
800;0.75;3506370
800;0.75;3494298
800;0.75;3489792
800;0.75;3514892
800;0.75;3498184
800;0.75;3505737
800;0.75;3509669
800;0.75;3527093
800;0.75;3540301
800;0.75;3500987
800;0.75;3501267
800;0.75;3492211
800;0.75;3502414
800;0.75;3521060
800;0.75;3493831
800;0.75;3517337
800;0.99;6322081
800;0.99;6311043
800;0.99;6313522
800;0.99;6317366
800;0.99;6309529
800;0.99;6319715
800;0.99;6309696
800;0.99;6310471
800;0.99;6306590
800;0.99;6295322
800;0.99;6312197
800;0.99;6308819
800;0.99;6297708
800;0.99;6308971
800;0.99;6319565
800;0.99;6332543
800;0.99;6340021
800;0.99;6331265
800;0.99;6345347
800;0.99;6333859
800;0.99;6317952
800;0.99;6334606
800;0.99;6337402
800;0.99;6356462
800;0.99;6363100
800;0.99;6350148
800;0.99;6366859
800;0.99;6359869
800;0.99;6354414
800;0.99;6366416
800;0.99;6366565
800;0.99;6356703
800;0.99;6364463
800;0.99;6381752
800;0.99;6392149
800;0.99;6372887
800;0.99;6366954
800;0.99;6360751
800;0.99;6368843
800;0.99;6360155
800;0.99;6360877
800;0.99;6344461
800;0.99;6351187
800;0.99;6351859
800;0.99;6342183
800;0.99;6366683
800;0.99;6352273
800;0.99;6344616
800;0.99;6326757
800;0.99;6333488
1000;0.25;2256329
1000;0.25;2243708
1000;0.25;2266901
1000;0.25;2239153
1000;0.25;2256017
1000;0.25;2246148
1000;0.25;2247578
1000;0.25;2245386
1000;0.25;2248472
1000;0.25;2242324
1000;0.25;2253301
1000;0.25;2234346
1000;0.25;2259844
1000;0.25;2243062
1000;0.25;2248461
1000;0.25;2235682
1000;0.25;2244113
1000;0.25;2242079
1000;0.25;2246360
1000;0.25;2243903
1000;0.25;2231973
1000;0.25;2250295
1000;0.25;2244196
1000;0.25;2245254
1000;0.25;2241126
1000;0.25;2262750
1000;0.25;2237878
1000;0.25;2249928
1000;0.25;2241600
1000;0.25;2249943
1000;0.25;2229727
1000;0.25;2264322
1000;0.25;2243313
1000;0.25;2247921
1000;0.25;2224510
1000;0.25;2249148
1000;0.25;2240349
1000;0.25;2247142
1000;0.25;2233378
1000;0.25;2254863
1000;0.25;2234035
1000;0.25;2249638
1000;0.25;2245625
1000;0.25;2257380
1000;0.25;2236636
1000;0.25;2247172
1000;0.25;2241315
1000;0.25;2245293
1000;0.25;2241014
1000;0.25;2244179
1000;0.5;4574035
1000;0.5;4581606
1000;0.5;4576677
1000;0.5;4565228
1000;0.5;4575474
1000;0.5;4578291
1000;0.5;4573663
1000;0.5;4577811
1000;0.5;4577729
1000;0.5;4568870
1000;0.5;4582129
1000;0.5;4577931
1000;0.5;4574111
1000;0.5;4580736
1000;0.5;4577732
1000;0.5;4583715
1000;0.5;4577929
1000;0.5;4577989
1000;0.5;4584773
1000;0.5;4585617
1000;0.5;4581271
1000;0.5;4584730
1000;0.5;4583950
1000;0.5;4576689
1000;0.5;4575081
1000;0.5;4582754
1000;0.5;4577604
1000;0.5;4583910
1000;0.5;4576573
1000;0.5;4594284
1000;0.5;4595076
1000;0.5;4598304
1000;0.5;4600481
1000;0.5;4587423
1000;0.5;4589958
1000;0.5;4597369
1000;0.5;4591976
1000;0.5;4592451
1000;0.5;4601945
1000;0.5;4597293
1000;0.5;4608415
1000;0.5;4594588
1000;0.5;4599340
1000;0.5;4599917
1000;0.5;4598666
1000;0.5;4598713
1000;0.5;4603668
1000;0.5;4612098
1000;0.5;4595956
1000;0.5;4601345
1000;0.75;9494062
1000;0.75;9478663
1000;0.75;9471355
1000;0.75;9476649
1000;0.75;9486779
1000;0.75;9474637
1000;0.75;9439058
1000;0.75;9442321
1000;0.75;9525114
1000;0.75;9456101
1000;0.75;9435798
1000;0.75;9419100
1000;0.75;9410612
1000;0.75;9409022
1000;0.75;9402780
1000;0.75;9408127
1000;0.75;9427068
1000;0.75;9430767
1000;0.75;9411620
1000;0.75;9405099
1000;0.75;9412505
1000;0.75;9419514
1000;0.75;9407430
1000;0.75;9431328
1000;0.75;9414144
1000;0.75;9426365
1000;0.75;9398053
1000;0.75;9398398
1000;0.75;9399819
1000;0.75;9444903
1000;0.75;9441427
1000;0.75;9422661
1000;0.75;9445358
1000;0.75;9433070
1000;0.75;9463819
1000;0.75;9487609
1000;0.75;9496290
1000;0.75;9479522
1000;0.75;9519350
1000;0.75;9492603
1000;0.75;9505959
1000;0.75;9532109
1000;0.75;9499864
1000;0.75;9502337
1000;0.75;9500382
1000;0.75;9503787
1000;0.75;9492409
1000;0.75;9467431
1000;0.75;9478859
1000;0.75;9477569
1000;0.99;12615000
1000;0.99;12539248
1000;0.99;12534000
1000;0.99;12524461
1000;0.99;12535568
1000;0.99;12486374
1000;0.99;12481721
1000;0.99;12478393
1000;0.99;12495243
1000;0.99;12485586
1000;0.99;12520043
1000;0.99;12502164
1000;0.99;12494590
1000;0.99;12507309
1000;0.99;12504490
1000;0.99;12507587
1000;0.99;12495372
1000;0.99;12497864
1000;0.99;12548510
1000;0.99;12559011
1000;0.99;12560956
1000;0.99;12520463
1000;0.99;12600136
1000;0.99;12594898
1000;0.99;12625398
1000;0.99;12600697
1000;0.99;12609796
1000;0.99;12611877
1000;0.99;12627492
1000;0.99;12609812
1000;0.99;12607919
1000;0.99;12613317
1000;0.99;12613643
1000;0.99;12626258
1000;0.99;12597692
1000;0.99;12610007
1000;0.99;12536812
1000;0.99;12529464
1000;0.99;12520565
1000;0.99;12495987
1000;0.99;12486180
1000;0.99;12475713
1000;0.99;12476425
1000;0.99;12487258
1000;0.99;12495359
1000;0.99;12503451
1000;0.99;12513958
1000;0.99;12486023
1000;0.99;12490057
1000;0.99;12488689
1200;0.25;3928486
1200;0.25;3931292
1200;0.25;3918171
1200;0.25;3937911
1200;0.25;3932932
1200;0.25;3934881
1200;0.25;3929276
1200;0.25;3934045
1200;0.25;3936698
1200;0.25;3937032
1200;0.25;3943872
1200;0.25;3931705
1200;0.25;3944373
1200;0.25;3930030
1200;0.25;3947427
1200;0.25;3931798
1200;0.25;3933545
1200;0.25;3933193
1200;0.25;3945617
1200;0.25;3955317
1200;0.25;3967154
1200;0.25;3964495
1200;0.25;3966937
1200;0.25;3962076
1200;0.25;3950779
1200;0.25;3943074
1200;0.25;3927695
1200;0.25;3947500
1200;0.25;3956969
1200;0.25;3955618
1200;0.25;3955003
1200;0.25;3949233
1200;0.25;3954412
1200;0.25;3953351
1200;0.25;3955343
1200;0.25;3940809
1200;0.25;3929792
1200;0.25;3942913
1200;0.25;3958598
1200;0.25;3948967
1200;0.25;3963691
1200;0.25;3959701
1200;0.25;3955212
1200;0.25;3963593
1200;0.25;3952339
1200;0.25;3915798
1200;0.25;3943869
1200;0.25;3933987
1200;0.25;3940336
1200;0.25;3932205
1200;0.5;10939559
1200;0.5;10925159
1200;0.5;10930327
1200;0.5;10924132
1200;0.5;10920634
1200;0.5;10898276
1200;0.5;10908987
1200;0.5;10877971
1200;0.5;10855310
1200;0.5;10839830
1200;0.5;10852616
1200;0.5;10857646
1200;0.5;10856902
1200;0.5;10859785
1200;0.5;10858816
1200;0.5;10865819
1200;0.5;10885558
1200;0.5;10877376
1200;0.5;10856591
1200;0.5;10872341
1200;0.5;10851301
1200;0.5;10827310
1200;0.5;10841438
1200;0.5;10907210
1200;0.5;10893935
1200;0.5;10882034
1200;0.5;10895005
1200;0.5;10918537
1200;0.5;10995861
1200;0.5;10957057
1200;0.5;10955037
1200;0.5;10962296
1200;0.5;10960895
1200;0.5;10985941
1200;0.5;10981097
1200;0.5;10970547
1200;0.5;10977447
1200;0.5;10958014
1200;0.5;10964787
1200;0.5;10965998
1200;0.5;10944410
1200;0.5;10940846
1200;0.5;10935330
1200;0.5;10906462
1200;0.5;10926742
1200;0.5;10895021
1200;0.5;10882137
1200;0.5;10873761
1200;0.5;10857772
1200;0.5;10847353
1200;0.75;16347485
1200;0.75;16378548
1200;0.75;16375788
1200;0.75;16376441
1200;0.75;16388760
1200;0.75;16351710
1200;0.75;16375525
1200;0.75;16393965
1200;0.75;16429327
1200;0.75;16445021
1200;0.75;16445300
1200;0.75;16475856
1200;0.75;16555377
1200;0.75;16509883
1200;0.75;16548975
1200;0.75;16537253
1200;0.75;16558722
1200;0.75;16537234
